000001010016C02AB  111*
000028010015C01B   053 
000028010015S01FA  894*
000028020014A03BA  894*
000028020014C01B   041 
000028020014S01FA  894*
000028030013A03BA  894*
000028030013A03BB  142 
000028030013S01FA  894*
000028040012A03BA  894*
000028040012A03BB  142 
000028040012S01FA  894*
000028050011A03BA  934*
000028050011S01FA  934*
000028070019A03BA  111 
000028070019S01FA  111 
000028080018S01FA  122 
000029010014A02AB  874*
000030010011N05CA  854*
000030020010N05CA  854*
000031010010R06AE  044 
000032010019C01DA  854*
000032010019C05AE  854*
000033010018M04AA  854*
000033020017M04AA  033*
000034010017N06BA  854*
000034020016N06BA  854*
000034030015N06BA  042*
000034040014N06BA  111 
000034050013N06BA  122 
000034060012N06BA  122 
000034070011N06BA  143*
000035010016A11EA  042 
000036010015C01AA  854*
000037010014R03DA  874*
000037020013R03DA  111 
000037030012R03DA  121 
000038010013C01EB  894*
000038010013M01AB  894*
000038010013M02AA  961*
000038010013S01BC  894*
000038020012M01AB  894*
000038020012M02AA  961*
000038020012S01BC  894*
000038030011C01EB  894*
000038030011M01AB  894*
000038030011M02AA  961*
000038030011S01BC  894*
000038040010M01AB  914*
000038040010M02AA  961*
000038050019C01EB  022*
000038050019M01AB  022*
000038050019M02AA  022*
000038060018M01AB  133 
000039010012A01AD  884*
000039010012B02BC  961*
000039010012C01CA  971*
000039010012R01AA  022*
000039010012R03AA  874*
000039010012R03CA  022 
000039010012S01EA  894*
000039010012V91    141 
000039020011A01AD  021*
000039020011B02BC  961*
000039020011C01CA  971*
000039020011R01AA  021*
000039020011R03AA  874*
000039020011R03CA  021 
000039020011S01EA  894*
000039030010A01AD  021*
000039030010B02BC  961*
000039030010C01CA  971*
000039030010R01AA  021*
000039030010R03AA  874*
000039030010R03CA  021 
000039030010S01EA  894*
000039040019B02BC  961*
000039040019C01CA  971*
000039040019S01EA  894*
000039050018R01AA  122 
000040010019N02CX  854*
000040010019R06AD  854 
000040020018N02CX  854*
000040020018R06AD  854 
000041010018R05CA  044 
000042010017J01ED  854*
000042020016J01ED  061*
000043010016V04CG  854*
000043020015V04CG  854*
000044010015V08AC  854 
000044020014V08AC  854 
000044030013V08AC  854 
000045010014V08AC  854 
000046010013N02AA  044 
000046010013N02BE  044 
000047010012R05CB  854*
000047020011R05CB  854*
000048010011R05FA  044 
000049010010J01CE  854*
000049020019J01CE  854*
000050010016R03A   044 
000051010015A03DB  044 
000052010014N02BE  044 
000053010013N02AA  044 
000053010013N02BE  044 
000054010012G03A   131 
000054010012G03FB  044 
000054010012G03HB  131 
000055010011H01AA  874*
000055020010H01AA  874*
000055030019H01AA  874*
000055040018H01AA  874*
000056010010R01BA  034 
000057010019N05CM  854*
000058010018C02AA  044 
000059010017C02LA  043 
000060010014C01D   044 
000062010012C03DA  894*
000063010011C01CA  884*
000063010011N07CA  081 
000063010011R03AB  884*
000063010011R03CB  884*
000063020010C01CA  884*
000063020010R03AB  884*
000063020010R03CB  884*
000063030019C01CA  884*
000063030019N07CA  063 
000063030019R03AB  884*
000063030019R03CB  884*
000064010010L01AA  854*
000064020019L01AA  111 
000064030018L01AA  121 
000065010019N06AA  854*
000065020018N06AA  854*
000066010018C01AC  854 
000069010015G03AA  044 
000069010015G03FA  044 
000070010012A06AC  854 
000070010012D03AX  121 
000070010012D09A   051 
000070010012S01XA  022 
000070020011A06AC  854 
000070020011D03AX  121 
000070020011D09A   051 
000070020011S01XA  022 
000070030010D03AX  121 
000071010011R06AE  044 
000072010010C01AA  854*
000073010019M04AB  854*
000074010018B01AA  854*
000076010016C02DB  854*
000076020015C02DB  854*
000077010015J01CE  854*
000077020014J01CE  854*
000079010013C04AA  884*
000079010013G02CA  884*
000079020012C04AA  854*
000080010010A11GA  854*
000080010010D11AX  133 
000080010010G01AD  022*
000080010010S01XA  022*
000080010010V91    141 
000080020019A11GA  854*
000080030018A11GA  013 
000080040017A11GA  121 
000080050016A11GA  132*
000080050016D11AX  133 
000080050016G01AD  132*
000080050016S01XA  132*
000082010018A03CB  044 
000083010017A08AA  854 
000084010016R05CA  044 
000085010015A07EA  921*
000085010015C05AA  854*
000085010015D07AC  854*
000085010015H02AB  854*
000085010015R01AD  921*
000085010015R03BA  921*
000085010015S01BA  854*
000085010015S02BA  991*
000085010015S03BA  022*
000085020014A07EA  921*
000085020014C05AA  931*
000085020014D07AC  854*
000085020014H02AB  854*
000085020014R01AD  921*
000085020014R03BA  921*
000085020014S01BA  931*
000085020014S02BA  991*
000085020014S03BA  022*
000085030013A07EA  921*
000085030013C05AA  931*
000085030013D07AC  854*
000085030013H02AB  931*
000085030013R01AD  921*
000085030013R03BA  921*
000085030013S01BA  931*
000085030013S02BA  991*
000085040012A07EA  921*
000085040012C05AA  931*
000085040012D07AC  854*
000085040012H02AB  931*
000085040012R01AD  921*
000085040012R03BA  921*
000085040012S01BA  931*
000085040012S02BA  991*
000085050011A07EA  921*
000085050011C05AA  931*
000085050011D07AC  854*
000085050011H02AB  931*
000085050011R01AD  921*
000085050011R03BA  921*
000085050011S01BA  931*
000085050011S02BA  991*
000085060010A07EA  961*
000085060010C05AA  961*
000085060010D07AC  961*
000085060010H02AB  062*
000085060010S02BA  991*
000085070019A07EA  992*
000085070019C05AA  992*
000085070019D07AC  992*
000085080018D07AC  103 
000085090017A07EA  111 
000085090017C05AA  111 
000085090017D07AC  111 
000085090017H02AB  111 
000085090017R01AD  111 
000085090017R03BA  111 
000085090017S01BA  111 
000085090017S02BA  111 
000085090017S03BA  111 
000087010013A03BB  051 
000087010013A04AD  894*
000087010013N05CM  894*
000087010013S01FA  894*
000087020012A03BB  854 
000087030011A03BB  081 
000087030011A04AD  112 
000087030011N05CM  121 
000087030011S01FA  894*
000087040010A03BB  854 
000087050019A03BB  894 
000087050019S01FA  894*
000087060018S01FA  894*
000087070017A03BB  921 
000087080016A04AD  081*
000087080016N05CM  081*
000087080016S01FA  081*
000087090015A04AD  111 
000087090015N05CM  111 
000087090015S01FA  111 
000088010012S01GA  044 
000089010011J06AA  854*
000090010018C03BA  854*
000091010017V04CE  854*
000091020016V04CE  854*
000092010016B01AC  063 
000092010016N02BA  044 
000093010015M01AA  874*
000093010015M02AA  854*
000093020014M01AA  874*
000093030013M01AA  942*
000093030013M02AA  942*
000093040012M01AA  954*
000093040012M02AA  954*
000094010014M01AA  044 
000095010013M01AA  044 
000096010012N05CA  854*
000097010011N05CA  854 
000097020010N05CA  854 
000098010010A11EA  044 
000100010016P01BA  854*
000100020015P01BA  854*
000101010015J04AB  854*
000101020014J04AB  854*
000102010014H03BB  854*
000103010013N01BB  854*
000103020012N01BB  854*
000104010012N05CB  044 
000105010011A10BB  854*
000106010010C01AA  044 
000108010018C03AA  854*
000109010017J01DB  854*
000109020016J01DB  854*
000110010014J01DB  854*
000111010013D08AJ  894*
000111010013R02AA  894*
000111020012D08AJ  854*
000111020012R02AA  854*
000111030011D08AJ  061*
000111040010D08AJ  112 
000112010012N02BE  044 
000113010011N05CC  854*
000113020010N05CC  854*
000115010019N05BA  854*
000115020018N05BA  854*
000117010017A01AB  121 
000117010017D06AX  894*
000117010017D10AF  894*
000117010017G01AA  894*
000117010017J01BA  854*
000117010017S01AA  854*
000117010017S02AA  854*
000117010017S03AA  001*
000117020016D06AX  894*
000117020016D10AF  894*
000117020016G01AA  894*
000117020016J01BA  854*
000117020016S01AA  854*
000117020016S02AA  854*
000117020016S03AA  001*
000117030015D06AX  894*
000117030015D10AF  894*
000117030015G01AA  894*
000117030015J01BA  854*
000117030015S01AA  854*
000117030015S02AA  854*
000117030015S03AA  001*
000117040014D06AX  894*
000117040014D10AF  894*
000117040014G01AA  894*
000117040014J01BA  854*
000117040014S01AA  854*
000117040014S02AA  854*
000117040014S03AA  001*
000117050013J01BA  052*
000117070011J01BA  122 
000118010016C03AA  854*
000118020015C03AA  061*
000119010015N05AA  854*
000119020014N05AA  854*
000119030013N05AA  854*
000119040012N05AA  854*
000119060010N05AA  112 
000119070019N05AA  112 
000119080018N05AA  112 
000120010012J01CF  854*
000120020011J01CF  854*
000121010011N05AF  854*
000121020010N05AF  854*
000121030019N05AF  051*
000121040018N05AF  052*
000122010010R03DA  894*
000122020019R03DA  894*
000122030018R03DA  854*
000122040017R03DA  854*
000122050016R03DA  894*
000122060015R03DA  893*
000122070014R03DA  913*
000122080013R03DA  113 
000122090012R03DA  121*
000123010019N02CA  854*
000123020018N02CA  854*
000124010018N01BB  044 
000125010017A01AB  961*
000125010017D06BX  894*
000125010017G01AF  894*
000125010017J01XD  894*
000125010017P01AB  921*
000125020016A01AB  961*
000125020016D06BX  894*
000125020016G01AF  894*
000125020016J01XD  894*
000125020016P01AB  921*
000125030015A01AB  961*
000125030015D06BX  931*
000125030015G01AF  931*
000125030015J01XD  931*
000125030015P01AB  931*
000125040014A01AB  973*
000125040014D06BX  973*
000125040014G01AF  973*
000125040014J01XD  131 
000126010016N02AA  151 
000126010016R05DA  854*
000126020015N02AA  151 
000126020015R05DA  854*
000126030014N02AA  151 
000126030014R05DA  854*
000126040013N02AA  151 
000126040013R05DA  854*
000126050012N02AA  151 
000126050012R05DA  922*
000126060011N02AA  151 
000126060011R05DA  932*
000126070010N02AA  151 
000126070010R05DA  933*
000126080019N02AA  151 
000126080019R05DA  053*
000126090018N02AA  151 
000126090018R05DA  104 
000126100015N02AA  151 
000126100015R05DA  111 
000126110014N02AA  151 
000126110014R05DA  111 
000126120013N02AA  151 
000126120013R05DA  122 
000127010015N02AA  044 
000127010015N02BE  044 
000128010014R05DA  044 
000129010013N04AC  854*
000129020012N04AC  854*
000130010010M04AC  854*
000132010018A07AA  884*
000132010018J01XB  884*
000132010018S01AA  131 
000132030016A07AA  884*
000132030016J01XB  884*
000132040015A07AA  051*
000132040015J01XB  051*
000132060013A07AA  101*
000132060013J01XB  101*
000132060013S01AA  131 
000133010017A04AD  982 
000133010017N05AB  854*
000133020016A04AD  982 
000133020016N05AB  854*
000133030015A04AD  982 
000133030015N05AB  854*
000133040014A04AD  982 
000133040014N05AB  854*
000134010016C04AD  854*
000135010015J01AA  044 
000136010014N06AA  854*
000136020013N06AA  854*
000137010013G03AA  044 
000137010013G03FA  044 
000139010011G03AB  044 
000139010011G03FA  044 
000140010018V08AA  854*
000140020017V08AA  854*
000140030016V08AA  943*
000142010016J04AK  141*
000143010015C08DA  854*
000143020014C08DA  854*
000144010014C01DX  854*
000144020013C01DX  854*
000144030012C01DX  122 
000145010013R01BA  043 
000146010012H02AB  854*
000146010012S01BA  854*
000146010012V91    141 
000146020011H02AB  854*
000146020011S01BA  854*
000146020011V91    141 
000147010011A09AA  854 
000147010011S01XA  074 
000148010010B01AA  854*
000148020019B01AA  854*
000148030018B01AA  854*
000148040017B01AA  013*
000148050016B01AA  152*
000149010019R06AE  854*
000149020018R06AE  854*
000149030017R06AE  854*
000149040016R06AE  902*
000150010015N05CA  854*
000150020014N05CA  854*
000151010014C04AX  854*
000152010013B03AE  044 
000153010012N05BC  854*
000154010011S01EC  894*
000155010010C02LA  044 
000156010019A03AA  854*
000156020018A03AA  854*
000157010018A11AB  044 
000158010017A04AD  044 
000159010016A14AB  854*
000159010016S01XA  961*
000159020015A14AB  854*
000159020015S01XA  961*
000159030014A14AB  854*
000159030014S01XA  961*
000159040013A14AB  854*
000159040013S01XA  961*
000159050012A14AB  854*
000159050012S01XA  961*
000159060011A14AB  874*
000159060011S01XA  961*
000159070010A14AB  051*
000159070010S01XA  051*
000160010013A01AC  884*
000160010013C05AA  894*
000160010013D07AB  894*
000160010013D10AA  894*
000160010013H02AB  854*
000160010013R01AD  894*
000160010013S01BA  902*
000160010013S02BA  894*
000160010013S03BA  854*
000160020012A01AC  884*
000160020012C05AA  894*
000160020012D07AB  061*
000160020012D10AA  894*
000160020012H02AB  854*
000160020012R01AD  894*
000160020012S01BA  061*
000160020012S02BA  894*
000160020012S03BA  854*
000160030011A01AC  884*
000160030011C05AA  894*
000160030011D07AB  053*
000160030011D10AA  894*
000160030011H02AB  854*
000160030011R01AD  894*
000160030011S01BA  894*
000160030011S02BA  894*
000160030011S03BA  854*
000160040010A01AC  884*
000160040010C05AA  894*
000160040010D07AB  081*
000160040010D10AA  894*
000160040010H02AB  854*
000160040010R01AD  894*
000160040010S01BA  894*
000160040010S02BA  894*
000160040010S03BA  894*
000160050019A01AC  884*
000160050019C05AA  894*
000160050019D07AB  894*
000160050019D10AA  894*
000160050019H02AB  854*
000160050019R01AD  894*
000160050019S01BA  894*
000160050019S02BA  894*
000160050019S03BA  854*
000160060018A01AC  884*
000160060018C05AA  894*
000160060018D07AB  902*
000160060018D10AA  894*
000160060018H02AB  884*
000160060018R01AD  894*
000160060018S01BA  894*
000160060018S02BA  894*
000160060018S03BA  894*
000160070017A01AC  884*
000160070017C05AA  894*
000160070017D07AB  081*
000160070017D10AA  894*
000160070017H02AB  884*
000160070017R01AD  894*
000160070017S01BA  894*
000160070017S02BA  894*
000160070017S03BA  894*
000160080016A01AC  923*
000160080016C05AA  923*
000160080016D10AA  923*
000160080016H02AB  923*
000160080016R01AD  923*
000160080016S01BA  923*
000160080016S02BA  923*
000160080016S03BA  923*
000160090015H02AB  933*
000160090015S01BA  093 
000160100012H02AB  101*
000160100012S01BA  101 
000160110011D07AB  061*
000160110011H02AB  051*
000160110011S01BA  051*
000160110011S03BA  053*
000160140018H02AB  061*
000160150017D07AB  092 
000160160016D07AB  094 
000160170015R01AD  102 
000160180014A01AC  104 
000160180014C05AA  104 
000160180014D07AB  104 
000160180014D10AA  104 
000160180014H02AB  104 
000160180014R01AD  104 
000160180014S01BA  104 
000160180014S02BA  104 
000160180014S03BA  104 
000160190013A01AC  104 
000160190013C05AA  104 
000160190013D07AB  104 
000160190013H02AB  104 
000160190013R01AD  104 
000160190013S01BA  104 
000160190013S02BA  104 
000160190013S03BA  104 
000161010012C02CC  854*
000161020011C02CC  854*
000162010011A01AC  062 
000162010011A07EA  884*
000162010011C05AA  854*
000162010011D07AA  854*
000162010011H02AB  854*
000162010011R01AD  854*
000162010011S01BA  854*
000162010011S02BA  894*
000162010011S03BA  854*
000162020010A07EA  051*
000162020010C05AA  854*
000162020010D07AA  854*
000162020010H02AB  854*
000162020010S01BA  854*
000162020010S02BA  894*
000162020010S03BA  854*
000162030019C05AA  854*
000162030019D07AA  854*
000162030019H02AB  854*
000162030019S01BA  854*
000162030019S02BA  894*
000162030019S03BA  854*
000162040018A01AC  062 
000162040018C05AA  854*
000162040018D07AA  854*
000162040018H02AB  854*
000162040018S01BA  854*
000162040018S02BA  894*
000162040018S03BA  854*
000162050017C05AA  854*
000162050017D07AA  854*
000162050017H02AB  854*
000162050017S01BA  854*
000162050017S02BA  894*
000162050017S03BA  854*
000162060016C05AA  854*
000162060016D07AA  854*
000162060016H02AB  854*
000162060016S01BA  854*
000162060016S02BA  894*
000162060016S03BA  854*
000162070015C05AA  854*
000162070015D07AA  854*
000162070015H02AB  854*
000162070015S01BA  854*
000162070015S02BA  894*
000162070015S03BA  854*
000162080014A07EA  053*
000162080014C05AA  854*
000162080014D07AA  854*
000162080014H02AB  854*
000162080014R01AD  053*
000162080014S01BA  854*
000162080014S02BA  894*
000162080014S03BA  854*
000162100010C05AA  862*
000162100010D07AA  862*
000162100010H02AB  862*
000162100010S01BA  862*
000162100010S02BA  894*
000162100010S03BA  862*
000162110019C05AA  121*
000162120018A07EA  051*
000162120018C05AA  051*
000162120018D07AA  051*
000162120018H02AB  051*
000162120018R01AD  051*
000162120018S01BA  051*
000162160014H02AB  101 
000162170013A07EA  111*
000162170013C05AA  111*
000162170013D07AA  111*
000162170013H02AB  111*
000162170013S01BA  111*
000162170013S02BA  111*
000162170013S03BA  111*
000162180012H02AB  121 
000162190011D07AA  122 
000162200018H02AB  122 
000162210017H02AB  131 
000163010010N02AB  874*
000163020019N02AB  874*
000164010019J01CE  044 
000165010018M01AA  874*
000165010018M02AA  874*
000165020017M01AA  122 
000166010017N06BA  854*
000166020016N06BA  854*
000166030015N06BA  854*
000166040014N06BA  871*
000166050013N06BA  011*
000166060012N06BA  011*
000166070011N06BA  122 
000167010016N02AC  044 
000168010015A10BB  854*
000169010014C03    894 
000169010014N03AX  894 
000169010014S01EC  894*
000169020013C03    134 
000169020013N03AX  104 
000169020013S01EC  894*
000170010011N03AE  151 
000170010011N05BA  894*
000171010010R06AK  044 
000172010019J01RA  044 
000173010018R01BA  044 
000174010017N03AB  854*
000174020016N03AB  854*
000174030015N03AB  002*
000176010015C01AA  854*
000177010014C01AA  854*
000178010013C04AE  073 
000178010013N02CA  854*
000178020012C04AE  073 
000178020012N02CA  854*
000178030011N02CA  854*
000179010012C02DB  854*
000179020011C02DB  854*
000179030010C02DB  024*
000179040019C02DB  122 
000179050018C02DB  122 
000180010019A02AD  044 
000181010018A02AF  044 
000183010016M03BC  854*
000183010016N04AB  854*
000183020015N04AB  854*
000183030014M03BC  854*
000184010015N02BB  044 
000186010013G04BX  022*
000186010013M01AX  113 
000186010013M02AX  854*
000187010012A03DA  044 
000188010011N02AC  874*
000188020010N02AC  874*
000188030019N02AC  874*
000188040018N02AC  122 
000189010010N05AX  884*
000189020019N05AX  884*
000190010017N05CE  854*
000191010016N05CB  044 
000192010015N05CX  044 
000195010012N07CA  103 
000195010012R06AA  854 
000196010011A02AB  874 
000197010010A01AD  081 
000197010010A02BX  874*
000197020019A01AD  063 
000197020019A02BX  874*
000198010019A08AA  044 
000198010019N06BA  044 
000199010018C04AA  854*
000199020017C04AA  854*
000199030016C04AA  042*
000200010015N02BE  854*
000201010014C03EA  044 
000202010013C03DB  854*
000203010012C03EA  044 
000204010011M01AB  874 
000205010010C03CC  854*
000205020019C03CC  854*
000206010019R05DA  044 
000207010018D06BA  112 
000207010018J01EB  854*
000207010018S01AB  112 
000207020017D06BA  112 
000207020017J01EB  053*
000207020017S01AB  112 
000208010017P01AX  854*
000208020016P01AX  854*
000209010016D06AX  063 
000209010016D10AF  894*
000209010016J01FA  894*
000209010016S01AA  894*
000209020015D10AF  894*
000209020015J01FA  894*
000209020015S01AA  894*
000209030014D10AF  894*
000209030014J01FA  894*
000209030014S01AA  894*
000209040013D10AF  894*
000209040013J01FA  894*
000209040013S01AA  894*
000209050012D10AF  894*
000209050012J01FA  894*
000209050012S01AA  894*
000209060011D10AF  894*
000209060011J01FA  894*
000209060011S01AA  894*
000209070010D10AF  894*
000209070010J01FA  894*
000209070010S01AA  894*
000209080019D10AF  894*
000209080019J01FA  894*
000209080019S01AA  894*
000209090018D10AF  912*
000209090018J01FA  912*
000209090018S01AA  912*
000209100015D10AF  952*
000209100015J01FA  952*
000209100015S01AA  952*
000209120013D10AF  101 
000209130012D10AF  104 
000209130012J01FA  104 
000209130012S01AA  104 
000209140011D10AF  104 
000209140011J01FA  104 
000209140011S01AA  104 
000209150010J01FA  122 
000210010013C05BA  044 
000210010013D02AF  044 
000210010013M02AC  044 
000211010012L01AA  854*
000211020011L01AA  063*
000212010011A01AD  121 
000212010011D01AE  894*
000212010011D02AF  034 
000212010011D11AC  053 
000212010011D11AF  131 
000212010011M02AC  074 
000212010011N02BA  051*
000212010011S01BC  991*
000212010011S02DA  121 
000212020010N02BA  854*
000212040018M02AC  074 
000212050017D02AF  104 
000212060016N02BA  111 
000212070015M02AC  111 
000212080014A01AD  121 
000212080014N02BA  121*
000212080014S02DA  121 
000212090013M02AC  121 
000212100010N02BA  121 
000212110019N02BA  121 
000212120018M02AC  121 
000212130017D02AF  121 
000212130017M02AC  122 
000212140016M02AC  121 
000212150015D02AF  121 
000212160014M02AC  121 
000212170013S02DA  121 
000212180012M02AC  121 
000212190011M02AC  122 
000212200018M02AC  122 
000212210017M02AC  122 
000212220016M02AC  122 
000212230015M02AC  122 
000212230015N02BA  142 
000212240014D01AE  122 
000212250013M02AC  123 
000212260012D01AE  132*
000212260012N02BA  132*
000212260012S01BC  132*
000214010019C01CA  042*
000214010019R01AA  894*
000214010019R01AB  894*
000214010019R03CA  894*
000214010019S01FB  894*
000214020018C01CA  042*
000214020018R01AA  894*
000214020018R01AB  894*
000214020018R03CA  894*
000214020018S01FB  894*
000214030017C01CA  111*
000214030017R01AA  894*
000214030017R01AB  894*
000214030017R03CA  894*
000214030017S01FB  894*
000214040016R01AA  984*
000214040016R01AB  984*
000214040016R03CA  984*
000214050015R03CA  122 
000214060014R03CA  122 
000214070013R03CA  122 
000214080012R03CA  122 
000214090011R03CA  122 
000214100018R03CA  122 
000215010018N01AX  854*
000216010017B02AA  854*
000216020016B02AA  061*
000217010016G02AB  854*
000217010016N02CA  854 
000217020015G02AB  854*
000217020015N02CA  854 
000217030014G02AB  061*
000217040013G02AB  122 
000217040013N02CA  122 
000218010015C02CC  854*
000218020014C02CC  854*
000220010011C03AA  854*
000221010010C05BB  044 
000222010019A11JC  044 
000223010018J04AK  854*
000223020017J04AK  854*
000224010017G03CA  854*
000224010017L02AA  854*
000224030015G03CA  101 
000224040014G03CA  131*
000224040014L02AA  131*
000225010016N03AD  854*
000226010015N06CA  044 
000227010014G03AA  044*
000227010014G03AB  053*
000227010014G03FA  044 
000228010013C02LA  044 
000229010012H03BB  854*
000231010018J01CE  044 
000232010017N03AA  894*
000232020016N03AA  894*
000232030015N03AA  061*
000232040014N03AA  122 
000232050013N03AA  122 
000233010016A07AX  854*
000233010016G01AC  854*
000233010016P01AA  854*
000234010015N05AB  854*
000234020014N05AB  854*
000234030013N05AB  854*
000234040012N05AB  892*
000234050011N05AB  112 
000234060010N05AB  113 
000235010014B03A   061 
000235010014B03AA  051 
000235010014B03AB  051 
000235010014B03AC  084 
000235010014V91    141 
000235020013B03AA  854*
000235030012B03AA  854*
000235040011B03AA  854*
000235050010B03AA  854*
000235060019B03AA  854*
000235070018B03AA  854*
000235080017B03AA  854*
000235090016B03AA  854*
000235100013B03AA  854*
000235110012B03AA  854*
000235120011B03AA  854*
000235130010B03AA  854*
000235140019B03AA  914*
000235150018B03AA  873*
000235160017B03AA  914*
000235170016B03AB  932 
000235190014B03AA  043 
000235200011B03AA  043 
000235220019B03AA  074 
000235230018B03AC  094 
000235240017B03AC  102 
000235250016B03AA  103 
000235260015B03AA  114 
000235270014B03AB  121 
000235280013B03AB  121 
000235280013B03AC  121 
000235290012B03AC  121 
000235300019B03AB  121 
000235310018B03AA  121 
000235320017B03AB  121 
000235330016B03AA  121 
000235340015B03AC  121 
000235350014B03A   121 
000235360013B03A   121 
000235370012B03AB  121 
000235370012V91    141 
000235380011B03A   121 
000235390010B03AB  121 
000235390010B03AC  121 
000235400017B03AB  121*
000235410016B03AB  121 
000235410016B03AC  121*
000235420015B03AB  121 
000235430014B03AB  121 
000235440013B03AB  121 
000235450012B03AB  121*
000235460011B03AB  121 
000235470010B03AB  121*
000235480019B03AB  121*
000235480019B03AC  121*
000235490018B03A   121 
000235490018B03AC  121 
000235500014B03AB  121*
000235500014B03AC  121*
000235510013B03A   122 
000235520012B03A   122 
000235530011B03A   131 
000235540010B03AA  132 
000235550019B03A   143 
000235560018B03AA  143 
000235570017B03AB  144 
000236010013B03AD  044 
000237010012A08AA  044 
000238010011M01AA  044 
000239010010N01AB  854*
000240010017R05DA  044 
000242010015B03BB  854*
000242010015M02AX  091 
000242020014B03BB  854*
000242030013B03BB  111 
000243010014R03DB  044 
000244010013J01XE  854*
000244020012J01XE  854*
000244030011J01XE  104 
000245010012P01AC  854*
000245020011P01AC  121*
000252010012J06BA  854*
000255010019J01EC  854*
000255010019S01AB  104 
000255020018J01EC  061*
000255020018S01AB  104 
000256010018G01AE  111 
000256010018J01EB  854*
000256010018S01AB  854*
000256020017J01EB  854*
000256020017S01AB  854*
000256030016J01EB  854*
000256030016S01AB  854*
000256040015J01EB  914*
000256040015S01AB  914*
000258010016N02BB  044 
000259010015V08AA  043 
000260010012A11BA  044 
000261010011A11JC  044 
000262010010C01BA  894*
000262020019C01BA  933*
000262030018C01BA  962*
